"","TICKER","CIK","CONAME"
"154","ACS",2135,"AFFILIATED COMPUTER SERVICES INC"
"157","ACS",2135,"AFFILIATED COMPUTER SERVICES"
"158","ACT",39547,"ACTAVA GROUP INC"
"159","ACTL",907687,"ACTEL CORP"
"162","ACTN",892147,"ACTION PERFORMANCE COS INC"
"164","ACV",3327,"ALBERTO CULVER CO"
"172","ACX",892793,"A C X TECHNOLOGIES INC"
"174","ACXM",733269,"ACXIOM CORP"
"179","ACXT",892793,"A C X TECHNOLOGIES INC"
"180","ACY",4829,"AMERICAN CYANAMID CO"
"182","AD",801622,"ADVO INC"
"189","ADAC",313798,"ADAC LABORATORIES INC"
"194","ADAP",16357,"ADAPTIVE BROADBAND CORP"
"196","ADBE",796343,"ADOBE SYSTEMS INC"
"204","ADCT",61478,"A D C TELECOMMUNICATION"
"209","ADCT",61478,"ADC TELECOMMUNICATIONS INC"
"212","ADD",6071,"AMES DEPARTMENT STORES INC"
"213","ADI",6281,"ANALOG DEVICES INC"
"220","ADI",6281,"ANALOG DEVICES"
"221","ADIC",770403,"ADVANCED DIGITAL INFORMATION CORP"
"223","ADIC",770403,"ADVANCED DIGITAL INFORMATION"
"224","ADLAC",796486,"ADELPHIA COMMUNICATIONS CORP"
"225","ADM",7084,"ARCHER DANIELS MIDLAND CO"
"232","ADM",7084,"ARCHER DANIELS MIDLAND COMPANY"
"233","ADP",3941,"ALLIED PRODUCTS CORP DE"
"236","ADP",8670,"AUTOMATIC DATA PROCESSING INC"
"238","ADP",8670,"AUTOMATIC DATA PROCESSING"
"239","ADPT",709804,"ADAPTEC INC"
"246","ADRX",1123337,"ANDRX CORP"
"249","ADS",1101215,"ALLIANCE DATA SYSTEMS"
"250","ADS",1101215,"ALLIANCE DATA SYSTEMS CORP"
"251","ADSK",769397,"AUTODESK INC"
"256","ADTN",926282,"ADTRAN INC"
"259","ADU",5177,"AMDURA CORP"
"261","ADV",319489,"ADVEST GROUP INC"
"264","ADVNA",96638,"ADVANTA CORP"
"267","ADVNB",96638,"ADVANTA CORP"
"268","ADVP",1012956,"ADVANCEPCS INC"
"270","ADVS",1002225,"ADVENT SOFTWARE INC"
"273","ADX",2230,"ADAMS EXPRESS CO"
"274","AEE",1002910,"AMEREN CORP"
"279","AEH",1017799,"ALLEGIANCE CORP"
"280","AEIC",700674,"AIR EXPRESS INTERNATIONAL CORP"
"283","AEIS",927003,"ADVANCED ENERGY INDUSTRIES INC"
"286","AEOS",919012,"AMERICAN EAGLE OUTFITTERS INC"
"290","AEP",4904,"AMERICAN ELECTRIC POWER INC"
"295","AEP",4904,"AMERICAN ELECTRIC POWER CO INC"
"297","AEP",4904,"AMERICAN ELECTRIC POWER"
"298","AES",874761,"A E S CORP"
"300","AES",874761,"AES CORP"
"302","AES",874761,"THE AES CORP"
"303","AET",1122304,"AETNA LIFE & CASUALTY CO"
"306","AET",1122304,"AETNA INC"
"311","AETH",1093434,"AETHER SYSTEMS INC"
"313","AEX",700674,"AIR EXPRESS INTERNATIONAL CORP"
"315","AF",910322,"ASTORIA FINANCIAL CORP"
"317","AFA",2135,"AFFILIATED COMPUTER SERVICES INC"
"318","AFBK",2682,"AFFILIATED BANKSHARES COLO INC"
"319","AFC",944695,"ALLMERICA FINANCIAL CORP"
"323","AFCI",898805,"ADVANCED FIBRE COMM INC"
"325","AFCI",898805,"ADVANCED FIBRE COMMUNICATIONS INC"
"327","AFFX",913077,"AFFYMETRIX INC"
"329","AFFX",913077,"AFFYMETRIX"
"330","AFG",1042046,"AMERICAN FINANCIAL GROUP INC"
"331","AFG",1042046,"AMERICAN FINANCIAL GROUP INC NEW"
"336","AFL",4977,"AMERICAN FAMILY CORP"
"337","AFL",4977,"A F L A C INC"
"341","AFL",4977,"AFLAC INC"
"343","AFL",4977,"AFLAC INCORPORATED"
"344","AFM",894972,"AMFM INC"
"345","AFM",943581,"AMERICAN RADIO SYSTEMS CORP"
"346","AFP",849696,"AFFILIATED PUBLICATIONS INC NEW"
"348","AFS",7974,"ASSOCIATES FIRST CAPITAL CORP"
"350","AFWY",846729,"AMERICAN FREIGHTWAYS CORP"
"352","AG",880266,"A G C O CORP"
"354","AG",880266,"AGCO CORP"
"357","AG",3662,"ALLEGHENY INTERNATIONAL INC"
"358","AGC",5103,"AMERICAN GENERAL CORP"
"363","AGD",1006030,"APPLIED GRAPHICS TECHNOLOGIES INC"
"364","AGE",718482,"EDWARDS A G INC"
"369","AGE",718482,"AG EDWARDS INC"
"370","AGE",718482,"A G EDWARDS INC"
"372","AGI",2491,"ALLIANCE GAMING CORP"
"374","AGII",800082,"ARGONAUT GROUP INC"
"382","AGIL",1088653,"AGILE SOFTWARE CORP"
"384","AGIX",1107601,"ATHEROGENICS INC"
"385","AGL",6571,"ANGELICA CORP"
"393","AGN",850693,"ALLERGAN INC"
"401","AGNC",1004981,"AGENCY RENT A CAR INC"
"403","AGP",1064863,"AMERIGROUP CORP"
"405","AGPH",811210,"AGOURON PHARMACEUTICALS INC"
"406","AGR",1129446,"AGERE SYSTEMS INC"
"407","AGRA",1129446,"AGERE SYSTEMS INC"
"408","AGREA",5133,"AMERICAN GREETINGS CORP"
"412","AGTX",1006030,"APPLIED GRAPHIC TECHNOLOGIES INC"
"413","AGY",895385,"ARGOSY GAMING CO"
"414","AGYS",78749,"AGILYSYS INC"
"416","AH",845752,"ARMOR HOLDINGS INC"
"418","AHAA",4127,"ALPHA INDUSTRIES INC"
"419","AHC",4447,"AMERADA HESS CORP"
"427","AHG",882289,"APRIA HEALTHCARE GROUP INC"
"432","AHM",771667,"AHMANSON H F & CO"
"436","AHP",5187,"AMERICAN HOME PRODUCTS CORP"
"442","AHS",1142750,"AMN HEALTHCARE SERVICES INC"
"444","AIG",5272,"AMERICAN INTERNATIONAL GROUP INC"
"451","AIG",5272,"AMERICAN INTERNATIONAL GROUP"
"452","AIN",819793,"ALBANY INTERNATIONAL CORP NEW"
"457","AIN",819793,"ALBANY INTERNATIONAL CORP"
"460","AIND",700612,"ARNOLD INDUSTRIES INC"
"464","AIR",1750,"A A R CORP"
"469","AIR",1750,"AAR CORP"
"472","AIT",732715,"AMERICAN INFORMATION TECHS CORP"
"473","AIT",732715,"AMERITECH CORP"
"477","AIT",109563,"APPLIED INDUSTRIAL TECHNOLOGIES INC"
"480","AIV",922864,"APARTMENT INVESTMENT AND MANAGEMENT CO"
"481","AIV",922864,"APARTMENT INVESTMENT & MANAGEMENT"
"482","AIZ",27425,"AMCAST INDUSTRIAL CORP"
"487","AJG",354190,"GALLAGHER ARTHUR J & CO"
"492","AJG",354190,"ARTHUR J GALLAGHER & CO"
"495","AKAM",1086222,"AKAMAI TECHNOLOGIES INC"
"496","AKS",918160,"A K STEEL HOLDING CORP"
"498","AKS",918160,"AK STEEL HOLDING CORP"
"501","ALAB",926966,"ALABAMA NATIONAL BANCORPORATION"
"502","ALB",915913,"ALBEMARLE CORP"
"507","ALD",3906,"ALLIED CAPITAL CORP"
"509","ALD",3906,"ALLIED CAPITAL CORPORATION"
"510","ALD",773840,"ALLIED SIGNAL INC"
"515","ALDC",813656,"ALDUS CORP"
"516","ALE",66756,"ALLETE"
"518","ALE",66756,"ALLETE INC"
"519","ALEX",3453,"ALEXANDER & BALDWIN INC"
"527","ALFA",743532,"ALFA CORP"
"529","ALG",7314,"ARKLA INC"
"531","ALGN",1097149,"ALIGN TECHNOLOGY INC"
"532","ALGX",1058703,"ALLEGIANCE TELECOM INC"
"534","ALI",1013218,"ALTERRA HEALTHCARE CORP"
"535","ALK",766421,"ALASKA AIRGROUP INC"
"540","ALK",766421,"ALASKA AIR GROUP INC"
"543","ALKS",874663,"ALKERMES INC"
"545","ALKS",874663,"ALKERMES"
"546","ALL",899051,"ALLSTATE CORP"
"551","ALL",899051,"THE ALLSTATE CORP"
"552","ALLP",736994,"ALLIANCE PHARMACEUTICAL CORP"
"555","ALN",3721,"ALLEN GROUP INC"
"558","ALN",3721,"ALLEN TELECOM INC"
"561","ALNT",320446,"ALIANT COMMUNICATIONS INC"
"563","ALO",730469,"ALPHARMA INC"
"568","ALOG",6284,"ANALOGIC CORP"
"576","ALS",811929,"ALLEGHENY LUDLUM CORP"
"579","ALSC",913293,"ALLIANCE SEMICONDUCTOR CORP"
"582","ALT",1018963,"ALLEGHENY TELEDYNE INC"
"584","ALTR",768251,"ALTERA CORP"
"590","ALTS",824310,"ALTUS BANK FEDERAL SAVINGS BK AL"
"591","ALV",1034670,"AUTOLIV INC"
"596","ALXN",899866,"ALEXION PHARMACEUTICALS INC"
"598","AM",2310,"A M INTERNATIONAL INC"
"599","AM",2310,"MULTIGRAPHICS INC"
"600","AM",5133,"AMERICAN GREETINGS CORP"
"603","AM",5133,"AMERICAN GREETINGS"
"604","AMAT",6951,"APPLIED MATERIALS INC"
"612","AMB",1045609,"AMB PROPERTY CORP"
"614","AMB",789073,"AMERICAN BRANDS INC"
"617","AMCC",711065,"APPLIED MICRO CIRCUITS CORP"
"621","AMD",2488,"ADVANCED MICRO DEVICES INC"
"629","AME",1037868,"AMETEK INC NEW"
"631","AME",1037868,"AMETEK INC"
"637","AMED",896262,"AMEDISYS INC"
"638","AMES",6071,"AMES DEPARTMENT STORES INC"
"639","AMFI",714756,"AMCORE FINANCIAL"
"640","AMG",1004434,"AFFILIATED MANAGERS GROUP INC"
"641","AMG",1004434,"AFFILIATED MANAGERS GROUP"
"642","AMGN",318154,"AMGEN INC"
"650","AMH",4427,"AMDAHL CORP"
"653","AMH",1051717,"AMERUS GROUP CO"
"655","AMHC",704415,"AMERICAN HEALTHWAYS INC"
"657","AMI",883702,"ACME METALS INC"
"659","AMI",861439,"AMERICAN MEDICAL HOLDINGS INC"
"660","AMKR",1047127,"AMKOR TECHNOLOGY INC"
"663","AMLN",881464,"AMYLIN PHARMACEUTICALS INC"
"664","AMLN",881464,"AMYLIN PHARMACEUTICALS"
"665","AMMB",225569,"AMRESCO INC"
"667","AMMD",1114200,"AMERICAN MEDICAL SYSTEMS HOLDINGS INC"
"669","AMN",790730,"AMERON INC DE"
"672","AMN",790730,"AMERON INTERNATIONAL CORP DEL"
"674","AMN",790730,"AMERON INTERNATIONAL CORP"
"677","AMP",820027,"AMERIPRISE FINANCIAL INC"
"678","AMP",6164,"A M P INC"
"682","AMR",6201,"A M R CORP DEL"
"687","AMR",6201,"AMR CORP"
"690","AMRI",1065087,"ALBANY MOLECULAR RESEARCH INC"
"692","AMRI",9999999999,"AMERIFIRST BANK FED SVGS BK FL"
"693","AMRN",1001603,"AMERIN CORP"
"694","AMSG",895930,"AMSURG CORP"
"696","AMSY",1318060,"AMERICAN MANAGEMENT SYSTEMS INC"
"700","AMT",869676,"ACME CLEVELAND CORP"
"701","AMT",869676,"ACME CLEVELAND CORP NEW"
"703","AMT",1053507,"AMERICAN TOWER CORP"
"707","AMTC",855612,"AMTECH CORP"
"708","AMTD",1173431,"AMERITRADE HOLDING CORP"
"710","AMTD",1173431,"AMERITRADE HOLDINGS CORP"
"711","AMTR",20972,"AMERITRUST CORP"
"712","AMX",912600,"ALUMAX INC"
"714","AMX",4363,"AMAX INC"
"716","AMZN",1018724,"AMAZON COM INC"
"718","AMZN",1018724,"AMAZONCOM INC"
"721","AN",93397,"AMOCO CORP"
"725","AN",350698,"AUTONATION INC"
"729","ANAT",904163,"AMERICAN NATIONAL INS CO"
"734","ANAT",904163,"AMERICAN NATIONAL INSURANCE CO"
"735","ANDW",317093,"ANDREW CORP"
"743","ANF",1018840,"ABERCROMBIE & FITCH"
"744","ANF",1018840,"ABERCROMBIE & FITCH CO"
"747","ANLY",6292,"ANALYSTS INTERNATIONAL CORP"
"750","ANN",874214,"ANNTAYLOR STORES CORP"
"755","ANSS",1013462,"ANSYS INC"
"757","ANT",1163842,"ANTEON INTERNATIONAL CORP"
"759","ANT",6720,"ANTHONY INDUSTRIES INC"
"762","ANTC",1141107,"ANTEC CORP"
"763","ANV",59198,"AEROQUIP VICKERS INC"
"764","AOC",315293,"AON CORP"
"772","AOI",939930,"ALLIANCE ONE INTERNATIONAL INC"
"773","AOL",1105705,"AMERICA ONLINE INC"
"775","AOL",1105705,"AOL TIME WARNER INC"
"776","AOR",1060024,"AURORA FOODS INC"
"777","AOS",91142,"SMITH A O CORP"
"780","AOS",91142,"AO SMITH CORP"
"781","AOS",91142,"A O SMITH CORP"
"783","AOT",824803,"APOGENT TECHNOLOGIES INC"
"785","AP",6176,"AMPCO PITTSBURGH CORP"
"791","APA",6769,"APACHE CORP"
"799","APAC",949297,"A P A C CUSTOMER SERVICES INC"
"801","APAC",949297,"APAC CUSTOMER SERVICES INC"
"803","APBI",810723,"APPLIED BIOSCIENCE INTL INC"
"804","APC",773910,"ANADARKO PETROLEUM CORP"
"812","APCC",835910,"AMERICAN POWER CONVERSION CORP"
"818","APCC",835910,"AMERICAN POWER CONVERSION"
"819","APD",2969,"AIR PRODUCTS & CHEMICALS INC"
"824","APD",2969,"AIR PRODUCTS AND CHEMICALS INC"
"827","APH",820313,"AMPHENOL CORP NEW"
"829","APH",820313,"AMPHENOL CORP"
"832","API",869986,"ADVANCED PHOTONIX INC CL A"
"833","APK",829761,"APPLE BANCORP INC"
"834","APM",6948,"APPLIED MAGNETICS CORP"
"839","APN",217084,"APPLICA INC"
"841","APN",217084,"APPLICA INCORPORATED"
"842","APOG",6845,"APOGEE ENTERPRISES INC"
"849","APOL",929887,"APOLLO GROUP INC"
"854","APPB",853665,"APPLEBEES INTERNATIONAL INC"
"856","APPB",853665,"APPLEBEE'S INTERNATIONAL INC"
"859","APPX",1141399,"AMERICAN PHARMACEUTICAL PARTNERS INC"
"860","APPX",1141399,"AMERICAN PHARMACEUTICALS PARTNERS INC"
"861","APS",725457,"AMERICAN PRESIDENT COS LTD"
"864","APSG",741696,"APPLIED SIGNAL TECHNOLOGY INC"
"865","APT",1095651,"STARWOOD FINANCIAL TRUST"
"866","APW",6955,"APPLIED POWER INC"
"868","APWR",885672,"ASTROPOWER INC"
"870","APY",891289,"ALLMERICA PROPERTY & CAS COS INC"
"872","APZ",109563,"APPLIED INDUSTRIAL TECHS INC"
"874","AQM",710983,"Q M S INC"
"877","AR",7649,"ASARCO INC"
"882","ARB",109758,"ARBITRON INC"
"885","ARBA",1084755,"ARIBA INC"
"888","ARBR",791048,"ARBOR DRUGS INC"
"891","ARC",775483,"ATLANTIC RICHFIELD CO"
"896","ARDI",1109537,"@ROAD INC"
"897","ARE",1035443,"ALEXANDRIA REAL ESTATE EQUITIES INC"
"899","ARG",804212,"AIRGAS INC"
"906","ARI",1013794,"ARDEN REALTY INC"
"908","ARJ",1072343,"ARCH CHEMICALS INC"
"911","ARM",1113256,"ARVINMERITOR INC"
"914","ARN",889217,"AMERICAN RE CORP"
"915","ARO",1168213,"AEROPOSTALE INC"
"916","ARQL",1019695,"ARQULE INC"
"919","ARRO",886046,"ARROW INTERNATIONAL INC"
"921","ARRO",886046,"ARROW INTERNATIONAL"
"922","ARRS",1141107,"ARRIS GROUP INC"
"924","ARS",202890,"ALERIS INTERNATIONAL INC"
"925","ARS",804104,"ARISTECH CHEM CORP"
"926","ART",1019878,"ACNIELSEN CORP"
"928","ARTC",1005010,"ARTHROCARE CORP"
"931","ARTG",1086195,"ART TECHNOLOGY GROUP INC"
"932","ARV",7636,"ARVIN INDUSTRIES INC"
"937","ARW",7536,"ARROW ELECTRONICS INC"
"945","ARX",2601,"A R X INC"
"947","ARX",2601,"AEROFLEX INC"
"948","ARXX",2601,"AEROFLEX INC"
"951","AS",7383,"ARMCO INC"
"956","ASAI",1023944,"ATLANTIC SOUTHEAST AIRLS INC"
"957","ASAI",1023944,"ASA HOLDINGS LTD"
"958","ASB",807549,"AMERICAN SAVINGS BANK FSB NY"
"959","ASBC",7789,"ASSOCIATED BANC CORP"
"963","ASC",90811,"AMERICAN STORES CO NEW"
"967","ASCA",912145,"AMERISTAR CASINOS INC"
"968","ASCL",799089,"ASCENTIAL SOFTWARE CORP"
"970","ASD",836102,"AMERICAN STANDARD COS INC DEL"
"972","ASD",836102,"AMERICAN STANDARD COS INC"
"974","ASD",836102,"AMERICAN STANDARD COMPANIES INC"
"975","ASF",1000753,"ADMINISTAFF INC"
"978","ASFC",910322,"ASTORIA FINANCIAL CORP"
"981","ASGN",890564,"ON ASSIGNMENT INC"
"985","ASH",1305014,"ASHLAND OIL INC"
"987","ASH",1305014,"ASHLAND INC"
"993","ASHW",820774,"ASHWORTH INC"
"998","ASI",924646,"ACCUSTAFF INC"
"999","ASKI",354797,"A S K COMPUTER SYSTEMS INC"
"1000","ASKI",354797,"ASK GROUP INC"
"1001","ASM",887538,"AUTHENTIC FITNESS CORP"
"1003","ASN",1156826,"ARCHSTONE SMITH TRUST"
"1005","ASN",3370,"ALCO STANDARD CORP"
"1008","ASND",921146,"ASCEND COMMUNICATIONS INC"
"1009","ASO",3133,"AMSOUTH BANCORPORATION"
"1017","ASPT",779390,"ASPECT TELECOMMUNICATIONS CORP"
"1018","ASPT",779390,"ASPECT COMMUNICATIONS CORP"
"1019","ASPT",779390,"ASPECT COMMUNICATIONS INC"
"1020","ASPX",860749,"AUSPEX SYSTEMS INC"
"1023","ASTA",725182,"A S T RESEARCH INC"
"1025","ASTE",792987,"ASTEC INDUSTRIES INC"
"1030","ASZ",872463,"AMSCO INTERNATIONAL INC"
"1031","AT",65873,"ALLTEL CORP"
"1039","ATC",941167,"ATARI CORP"
"1042","ATE",806393,"ATLANTIC ENERGY INC N J"
"1046","ATG",1004155,"ATLANTA GAS LIGHT CO"
"1049","ATG",1004155,"A G L RESOURCES INC"
"1051","ATG",1004155,"AGL RESOURCES INC"
"1054","ATH",8117,"ATHLONE INDUSTRIES INC"
"1055","ATH",1156039,"ANTHEM INC"
"1056","ATHM",1020620,"EXCITE@HOME CORP"
"1057","ATHM",1020620,"AT HOME CORP"
"1058","ATI",904255,"AIRTOUCH COMMUNICATIONS"
"1060","ATI",1018963,"ALLEGHENY TECHNOLOGIES INC"
"1063","ATIS",829549,"ADVANCED TISSUE SCIENCES INC"
"1066","ATK",866121,"ALLIANT TECHSYSTEMS INC"
"1073","ATKN",8137,"ATKINSON GUY F CO CALIF"
"1076","ATLF",742233,"ATLANTIC FINANCIAL FEDERAL"
"1077","ATLI",806086,"ADVANCED TECHNOLOGY LABS INC"
"1079","ATLI",806086,"A T L ULTRASOUND INC"
"1080","ATM",727120,"ANTHEM ELECTRONICS INC"
"1082","ATMI",1041577,"ATMI INC"
"1085","ATML",872448,"ATMEL CORP"
"1091","ATN",892147,"ACTION PERFORMANCE COS INC"
"1092","ATO",731802,"ATMOS ENERGY CORP"
"1100","ATPG",1123647,"ATP OIL & GAS CORP"
"1101","ATR",896622,"APTARGROUP INC"
"1106","ATRS",1139650,"ALTIRIS INC"
"1107","ATSN",23071,"ARTESYN TECHNOLOGIES INC"
"1111","ATU",6955,"ACTUANT CORP"
"1114","ATVI",718877,"ACTIVISION INC"
"1116","ATW",8411,"ATWOOD OCEANICS INC"
"1120","ATW",8411,"ATWOOD OCEANICS"
"1121","ATX",25793,"CROSS A T CO"
"1122","ATX",25793,"AT CROSS CO"
"1124","ATX",25793,"A T CROSS CO"
"1125","ATX",25793,"A T CROSS COMPANY"
"1126","ATXA",25793,"CROSS A T CO"
"1129","AUD",8670,"AUTOMATIC DATA PROCESSING INC"
"1134","AUG",8462,"AUGAT INC"
"1137","AV",1116521,"AVAYA INC"
"1140","AVA",104918,"AVISTA CORP"
"1143","AVA",104918,"AVISTA CORPORATION"
"1144","AVA",744187,"AUDIO VIDEO AFFILIATES INC"
"1145","AVAK",277161,"AVANTEK INC"
"1146","AVB",915912,"AVALONBAY COMMUNITIES INC"
"1149","AVCT",1109808,"AVOCENT CORP"
"1151","AVCT",1109808,"AVOCENT CORPORATION"
"1152","AVDL",829444,"AVONDALE INDUSTRIES INC"
"1157","AVDO",849101,"AVADO BRANDS INC"
"1158","AVE",8802,"AVEMCO CORP"
"1161","AVI",1040445,"AVIS RENT A CAR INC"
"1163","AVID",896841,"AVID TECHNOLOGY INC"
"1168","AVL",701650,"AVIALL INC NEW"
"1171","AVL",701650,"AVIALL INC"
"1174","AVNT",943892,"AVANT CORP"
"1177","AVO",1168335,"ADVANCED MEDICAL OPTICS INC"
"1178","AVP",8868,"AVON PRODUCTS INC"
"1186","AVT",8858,"AVNET INC"
"1194","AVX",859163,"A V X CORP NEW"
"1196","AVX",859163,"AVX CORP"
"1199","AVY",8818,"AVERY INTERNATIONAL CORP"
"1200","AVY",8818,"AVERY DENNISON CORP"
"1207","AW",848865,"ALLIED WASTE INDUSTRIES INC"
"1211","AWA",701345,"AMERICA WEST HOLDINGS CORP"
"1214","AWAL",701345,"AMERICA WEST AIRLS INC"
"1215","AWE",1138234,"AT&T WIRELESS SERVICES INC"
"1217","AWIN",848865,"ALLIED WASTE INDUSTRIES INC"
"1218","AWK",318819,"AMERICAN WATER WORKS INC"
"1223","AWK",318819,"AMERICAN WATER WORKS CO INC"
"1224","AWR",1056903,"AMERICAN STATES WATER CO"
"1227","AWR",1056903,"AMERICAN STATES WATER COMPANY"
"1228","AWRE",1015739,"AWARE INC"
"1230","AWT",823556,"AIR & WATER TECHNOLOGIES CORP"
"1233","AXE",52795,"ANIXTER INTERNATIONAL INC"
"1238","AXL",1062231,"AMERICAN AXLE & MANUFACTURING HOLDINGS INC"
"1241","AXP",4962,"AMERICAN EXPRESS CO"
"1248","AXP",4962,"AMERICAN EXPRESS"
"1249","AXR",6207,"AMREP CORP"
"1252","AXTI",1051627,"AXT INC"
"1254","AYE",3673,"ALLEGHENY ENERGY INC"
"1259","AYI",1144215,"ACUITY BRANDS INC"
"1261","AYP",3673,"ALLEGHENY POWER SYSTEMS INC"
"1264","AZA",4310,"ALZA CORP"
"1269","AZE",5405,"AMERICAN MAIZE PRODS CO"
"1270","AZEA",5405,"AMERICAN MAIZE PRODS CO"
"1272","AZO",866787,"AUTOZONE INC"
"1277","AZPN",929940,"ASPEN TECHNOLOGY INC"
"1281","AZR",852807,"AZTAR CORP"
"1288","AZTR",852807,"AZTAR CORP"
"1289","B",9984,"BARNES GROUP INC"
"1297","BA",12927,"BOEING CO"
"1304","BA",12927,"THE BOEING CO"
"1305","BAC",70858,"BANKAMERICA CORP"
"1306","BAC",70858,"BANK OF AMERICA CORP"
"1309","BAC",9672,"BANKAMERICA CORP"
"1313","BAMM",891919,"BOOKS A MILLION INC"
"1316","BANG",9548,"BANGOR HYDRO ELECTRIC CO"
"1317","BARZ",878483,"BARRA INC"
"1319","BAX",10456,"BAXTER INTERNATIONAL INC"
"1327","BAY",876516,"BAY NETWORKS INC"
"1328","BBA",96287,"BOMBAY COMPANY INC"
"1331","BBA",96287,"BOMBAY CO INC"
"1333","BBB",751926,"BALTIMORE BANCORP"
"1335","BBBY",886158,"BED BATH & BEYOND INC"
"1341","BBC",11454,"BERGEN BRUNSWIG CORP"
"1346","BBI",10012,"BARNETT BANKS INC"
"1350","BBI",1085734,"BLOCKBUSTER INC"
"1352","BBK",92230,"B B & T CORP"
"1353","BBN",13021,"BOLT BERANEK & NEWMAN INC"
"1356","BBNK",10497,"BAYBANKS INC"
"1359","BBOX",849547,"BLACK BOX CORP DEL"
"1361","BBOX",849547,"BLACK BOX CORP"
"1364","BBR",15840,"BUTLER MANUFACTURING CO DE"
"1366","BBR",15840,"BUTLER MANUFACTURING CO"
"1368","BBRC",715577,"BURR BROWN CORP"
"1370","BBT",92230,"BB&T CORP"
"1373","BBT",92230,"BB&T CORPORATION"
"1374","BBTF",13839,"B B & T FINANCIAL CORP"
"1376","BBTK",904898,"BROADBAND TECHNOLOGIES INC"
"1377","BBX",921768,"BANKATLANTIC BANCORP INC"
"1378","BBY",764478,"BEST BUY COMPANY INC"
"1382","BBY",764478,"BEST BUY CO INC"
"1385","BC",14930,"BRUNSWICK CORP"
"1393","BCC",12978,"BOISE CASCADE CORP"
"1400","BCF",718916,"BURLINGTON COAT FACTORY"
"1405","BCF",718916,"BURLINGTON COAT FACTORY WAREHOUSE CORP"
"1407","BCF",718916,"BURLINGTON COAT FACTORY WAREHOUSE"
"1408","BCGI",1012887,"BOSTON COMMUNICATIONS GROUP INC"
"1409","BCGI",1012887,"BOSTON COMMUNICATIONS GROUP"
